Districts,Median monthly,Population (2016),Density （/KM2),Latitudes,Longtitudes
Wan Chai,"44,100","180,123","17,137",22.276,114.175
Central and Western,"41,400","243,266","19,391",22.273,114.150
Sai Kung,"36,500","461,864","3,563",22.384,114.271
Eastern,"34,300","555,034","30,861",22.273,114.236
Southern,"32,800","274,994","7,080",22.243,114.197
Tsuen Wan,"32,600","318,916","5,149",22.370,114.114
North,"30,400","315,270","2,310",22.501,114.156
Kowloon City,"30,000","418,732","41,802",22.319,114.180
Yau Tsim Mong,"30,000","342,970","49,046",22.321,114.173
Sha Tin,"29,700","659,794","9,602",22.377,114.197
Islands,"28,400","156,801",886,22.259,114.191
Yuen Long,"27,000","607,200","4,435",22.445,114.022
Tai Po,"25,800","303,926","2,233",22.442,114.166
Wong Tai Sin,"25,500","425,235","45,711",22.343,114.193
Tuen Mun,"25,000","489,299","5,894",22.391,113.973
Kwai Tsing,"24,700","520,572","22,307",22.355,114.126
Sham Shui Po,"24,300","405,869","43,381",22.329,114.160
Kwun Tong,"22,500","648,541","57,530",22.310,114.223
